event_id,event_date,result,stake,pnl,bankroll
E051,2024-03-08,win,1.0,1.7000000000000002,1.7000000000000002
E052,2024-03-09,win,1.0,0.8,2.5
E053,2024-03-10,loss,1.0,-1.0,1.5
E054,2024-03-11,win,1.0,1.7999999999999998,3.3
E055,2024-03-12,win,1.0,1.0,4.3
E056,2024-03-13,loss,1.0,-1.0,3.3
E057,2024-03-15,win,1.0,0.75,4.05
E058,2024-03-16,loss,1.0,-1.0,3.05
E061,2024-03-20,win,1.0,0.8999999999999999,3.9499999999999997
E062,2024-03-21,win,1.0,1.1,5.05
E063,2024-03-22,win,1.0,1.2999999999999998,6.35
E066,2024-03-26,push,1.0,0.0,6.35
E067,2024-03-27,loss,1.0,-1.0,5.35
E068,2024-03-28,win,1.0,0.7,6.05
